# sigma_xx, sigma_yy, sigma_xy, epsilon_xx, epsilon_yy, epsilon_xy, vonMises, epsPlastic, hardening, epsilonP__xx, epsilonP__yy, epsilonP__xy, yieldValue, iteration
27799239.26315,-40331541.29470,-5309012.02946,   0.10190,  -0.11775,  -0.03365,60043100.51376,   0.02484,59543100.51167,   0.01985,  -0.02266,  -0.00604,   0.00209,   2.00000
27937849.04923,-40393188.37461,-5372236.43341,   0.10313,  -0.11902,  -0.03429,60226361.74368,   0.02600,59726361.74172,   0.02078,  -0.02371,  -0.00635,   0.00196,   2.00000
28083432.93322,-40444417.87812,-5437171.55505,   0.10436,  -0.12027,  -0.03494,60406429.65260,   0.02716,59906429.65083,   0.02170,  -0.02476,  -0.00667,   0.00177,   2.00000
28221965.88351,-40499374.34448,-5501607.76964,   0.10558,  -0.12152,  -0.03559,60584269.45859,   0.02831,60084269.45695,   0.02263,  -0.02580,  -0.00698,   0.00164,   2.00000
28364557.90985,-40549215.05285,-5567022.02054,   0.10681,  -0.12277,  -0.03625,60761194.42473,   0.02947,60261194.42317,   0.02356,  -0.02685,  -0.00730,   0.00156,   2.00000
28504441.65585,-40598067.77446,-5632211.66650,   0.10803,  -0.12401,  -0.03691,60935186.71603,   0.03062,60435186.71461,   0.02449,  -0.02789,  -0.00762,   0.00142,   2.00000
28648372.86335,-40641863.40847,-5698369.13472,   0.10926,  -0.12525,  -0.03758,61108328.55024,   0.03178,60608328.54888,   0.02542,  -0.02894,  -0.00795,   0.00136,   2.00000
28789620.37722,-40684745.62870,-5764309.03542,   0.11048,  -0.12648,  -0.03825,61278633.52016,   0.03294,60778633.51892,   0.02635,  -0.02998,  -0.00828,   0.00124,   2.00000
28933613.24929,-40722161.63135,-5831696.56629,   0.11170,  -0.12770,  -0.03893,61446836.80573,   0.03409,60946836.80458,   0.02728,  -0.03102,  -0.00861,   0.00115,   2.00000
29076245.87697,-40759202.17427,-5898377.70829,   0.11292,  -0.12892,  -0.03961,61613616.99428,   0.03525,61113616.99320,   0.02821,  -0.03206,  -0.00894,   0.00108,   2.00000
29221628.20297,-40790831.59689,-5966506.55014,   0.11414,  -0.13013,  -0.04030,61778374.96609,   0.03640,61278374.96509,   0.02914,  -0.03310,  -0.00927,   0.00100,   2.00000
29369960.95320,-40817381.02472,-6034213.01617,   0.11536,  -0.13133,  -0.04099,61941046.70726,   0.03756,61441046.70633,   0.03007,  -0.03413,  -0.00961,   0.00093,   2.00000
29516697.28997,-40843376.98951,-6103075.81459,   0.11658,  -0.13253,  -0.04169,62102504.46568,   0.03871,61602504.46480,   0.03100,  -0.03517,  -0.00995,   0.00088,   2.00000
29662077.15754,-40869119.51241,-6171224.84564,   0.11780,  -0.13373,  -0.04239,62262659.56128,   0.03987,61762659.56045,   0.03194,  -0.03621,  -0.01030,   0.00083,   2.00000
29814529.82312,-40884773.09095,-6241116.81975,   0.11902,  -0.13491,  -0.04310,62420235.20764,   0.04103,61920235.20688,   0.03287,  -0.03724,  -0.01065,   0.00076,   2.00000
29960045.67835,-40904585.25486,-6310519.97974,   0.12023,  -0.13609,  -0.04381,62576039.03935,   0.04218,62076039.03864,   0.03380,  -0.03827,  -0.01100,   0.00071,   2.00000
30109548.76590,-40919591.15421,-6380836.27792,   0.12145,  -0.13727,  -0.04453,62731280.13415,   0.04333,62231280.13346,   0.03473,  -0.03931,  -0.01135,   0.00068,   2.00000
30256492.40218,-40933993.84879,-6450970.16847,   0.12266,  -0.13844,  -0.04525,62884110.13218,   0.04449,62384110.13155,   0.03566,  -0.04034,  -0.01170,   0.00063,   2.00000
30411733.35368,-40938841.90436,-6522311.56641,   0.12388,  -0.13960,  -0.04598,63035744.54512,   0.04564,62535744.54452,   0.03660,  -0.04137,  -0.01206,   0.00059,   2.00000
30560061.57800,-40947965.32573,-6593168.02811,   0.12509,  -0.14076,  -0.04671,63185719.61890,   0.04679,62685719.61834,   0.03753,  -0.04240,  -0.01243,   0.00056,   2.00000
30711161.43976,-40951899.55381,-6665470.04751,   0.12630,  -0.14191,  -0.04745,63334030.23154,   0.04794,62834030.23102,   0.03846,  -0.04342,  -0.01279,   0.00052,   2.00000
30860920.27302,-40955794.41196,-6737042.25654,   0.12751,  -0.14306,  -0.04819,63481258.78696,   0.04910,62981258.78646,   0.03940,  -0.04445,  -0.01316,   0.00049,   2.00000
31013447.23616,-40954534.88457,-6810059.33362,   0.12872,  -0.14420,  -0.04894,63626880.07586,   0.05025,63126880.07540,   0.04033,  -0.04547,  -0.01353,   0.00046,   2.00000
31168973.95553,-40948471.38206,-6882661.24240,   0.12993,  -0.14533,  -0.04969,63770817.47419,   0.05140,63270817.47376,   0.04126,  -0.04649,  -0.01390,   0.00043,   2.00000
31323136.92439,-40942455.88230,-6954536.88446,   0.13114,  -0.14646,  -0.05044,63913742.66864,   0.05255,63413742.66823,   0.04220,  -0.04751,  -0.01428,   0.00041,   2.00000
31480043.63797,-40931349.84268,-7027865.43517,   0.13235,  -0.14758,  -0.05120,64055147.36792,   0.05369,63555147.36754,   0.04313,  -0.04853,  -0.01466,   0.00039,   2.00000
31635319.75511,-40920009.86943,-7102309.13672,   0.13356,  -0.14870,  -0.05197,64195690.24120,   0.05485,63695690.24083,   0.04407,  -0.04955,  -0.01504,   0.00037,   2.00000
31788135.64031,-40908286.32587,-7176605.62008,   0.13476,  -0.14981,  -0.05274,64334148.13942,   0.05599,63834148.13908,   0.04500,  -0.05056,  -0.01542,   0.00034,   2.00000
31949447.59846,-40887472.36979,-7250229.81324,   0.13597,  -0.15091,  -0.05351,64471561.57240,   0.05714,63971561.57208,   0.04593,  -0.05157,  -0.01581,   0.00032,   2.00000
32103646.38507,-40870853.46845,-7325241.76060,   0.13717,  -0.15201,  -0.05429,64607675.25780,   0.05828,64107675.25750,   0.04686,  -0.05258,  -0.01620,   0.00030,   2.00000
32260885.15108,-40849528.27906,-7399851.39021,   0.13837,  -0.15310,  -0.05507,64742289.21988,   0.05942,64242289.21959,   0.04779,  -0.05359,  -0.01659,   0.00029,   2.00000
32426300.16828,-40818827.24486,-7475629.70544,   0.13958,  -0.15418,  -0.05586,64876037.66789,   0.06057,64376037.66762,   0.04873,  -0.05460,  -0.01699,   0.00027,   2.00000
32584868.58042,-40792734.48432,-7550945.18728,   0.14078,  -0.15526,  -0.05665,65008438.36751,   0.06171,64508438.36726,   0.04966,  -0.05560,  -0.01739,   0.00026,   2.00000
32741804.65366,-40766516.11163,-7627363.64720,   0.14198,  -0.15634,  -0.05745,65140110.09674,   0.06285,64640110.09650,   0.05059,  -0.05661,  -0.01779,   0.00025,   2.00000
32906146.94324,-40730769.78644,-7703726.27701,   0.14318,  -0.15740,  -0.05825,65269786.31345,   0.06399,64769786.31322,   0.05152,  -0.05760,  -0.01819,   0.00023,   2.00000
33068805.52579,-40694959.98378,-7781183.20596,   0.14438,  -0.15846,  -0.05906,65398775.37708,   0.06513,64898775.37686,   0.05245,  -0.05860,  -0.01860,   0.00022,   2.00000
33230088.17796,-40659436.81646,-7857886.92259,   0.14558,  -0.15952,  -0.05987,65526974.55162,   0.06627,65026974.55141,   0.05339,  -0.05960,  -0.01901,   0.00021,   2.00000
33393371.71227,-40618788.55535,-7934850.61999,   0.14677,  -0.16056,  -0.06068,65652776.98493,   0.06740,65152776.98474,   0.05431,  -0.06059,  -0.01942,   0.00019,   2.00000
33555994.61716,-40578632.37126,-8012250.56549,   0.14797,  -0.16161,  -0.06150,65778986.20885,   0.06854,65278986.20866,   0.05525,  -0.06158,  -0.01984,   0.00019,   2.00000
33726008.05610,-40528984.52808,-8089615.75206,   0.14917,  -0.16264,  -0.06232,65903328.55043,   0.06967,65403328.55025,   0.05618,  -0.06257,  -0.02025,   0.00017,   2.00000
33888920.33175,-40483741.20764,-8168376.52661,   0.15036,  -0.16367,  -0.06315,66026582.74647,   0.07081,65526582.74630,   0.05710,  -0.06356,  -0.02067,   0.00017,   2.00000
34060216.51448,-40429550.23723,-8246430.60006,   0.15156,  -0.16469,  -0.06398,66149051.15711,   0.07194,65649051.15695,   0.05804,  -0.06454,  -0.02110,   0.00016,   2.00000
34224730.63724,-40380158.44316,-8324051.89623,   0.15275,  -0.16571,  -0.06481,66270347.43237,   0.07307,65770347.43222,   0.05896,  -0.06552,  -0.02152,   0.00015,   2.00000
34391948.30802,-40325851.41553,-8403126.26964,   0.15394,  -0.16672,  -0.06565,66390530.88716,   0.07420,65890530.88702,   0.05989,  -0.06650,  -0.02195,   0.00014,   2.00000
34557457.55036,-40271594.31144,-8483272.95077,   0.15513,  -0.16773,  -0.06650,66510156.00271,   0.07533,66010156.00257,   0.06082,  -0.06748,  -0.02239,   0.00014,   2.00000
34730369.91015,-40207848.76595,-8563395.97894,   0.15632,  -0.16872,  -0.06735,66628060.22608,   0.07645,66128060.22596,   0.06175,  -0.06845,  -0.02282,   0.00013,   2.00000
34897463.79738,-40149541.00489,-8642385.44390,   0.15751,  -0.16972,  -0.06820,66745848.21976,   0.07758,66245848.21964,   0.06268,  -0.06943,  -0.02326,   0.00012,   2.00000
