# sigma_xx, sigma_yy, sigma_zz, sigma_xy, sigma_yz, sigma_xz, epsilon_xx, epsilon_yy, epsilon_zz, epsilon_xy, epsilon_yz, epsilon_xz, vonMises, epsPlastic, hardening, epsilonP_xx, epsilonP_yy, epsilonP_zz, epsilonP_xy, epsilonP_yz, epsilonP_xz, yieldValue, iteration
-62394405.21604,-51475628.17110,-34161010.01614,15100297.97401,   0.00000,   0.00000,  -0.07341,  -0.04502,   0.00000,   0.07852,   0.00000,   0.00000,35946170.11551,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19481857.04980,   0.00000
-62474881.61028,-51533343.56494,-34202467.55257,15173458.33241,   0.00000,   0.00000,  -0.07351,  -0.04506,   0.00000,   0.07890,   0.00000,   0.00000,36061121.31782,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19366905.84748,   0.00000
-62555358.00452,-51591058.95879,-34243925.08900,15246618.69081,   0.00000,   0.00000,  -0.07361,  -0.04510,   0.00000,   0.07928,   0.00000,   0.00000,36176182.97865,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19251844.18665,   0.00000
-62632582.82728,-51652025.92413,-34285382.62542,15318153.26347,   0.00000,   0.00000,  -0.07370,  -0.04515,   0.00000,   0.07965,   0.00000,   0.00000,36287818.92778,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19140208.23752,   0.00000
-62713059.22152,-51709741.31798,-34326840.16185,15389687.83613,   0.00000,   0.00000,  -0.07380,  -0.04520,   0.00000,   0.08003,   0.00000,   0.00000,36401034.60175,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-19026992.56356,   0.00000
-62795974.29438,-51773146.96193,-34370736.37689,15461222.40879,   0.00000,   0.00000,  -0.07391,  -0.04525,   0.00000,   0.08040,   0.00000,   0.00000,36514635.13087,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18913392.03443,   0.00000
-62878889.36723,-51836552.60587,-34414632.59193,15531131.19571,   0.00000,   0.00000,  -0.07401,  -0.04530,   0.00000,   0.08076,   0.00000,   0.00000,36626265.36519,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18801761.80011,   0.00000
-62961804.44009,-51899958.24982,-34458528.80697,15601039.98262,   0.00000,   0.00000,  -0.07411,  -0.04535,   0.00000,   0.08113,   0.00000,   0.00000,36737986.57521,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18690040.59010,   0.00000
-63039029.26284,-51960925.21516,-34499986.34340,15670948.76954,   0.00000,   0.00000,  -0.07420,  -0.04540,   0.00000,   0.08149,   0.00000,   0.00000,36848049.86941,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18579977.29589,   0.00000
-63121944.33570,-52024330.85910,-34543882.55844,15740857.55646,   0.00000,   0.00000,  -0.07430,  -0.04545,   0.00000,   0.08185,   0.00000,   0.00000,36959953.27573,   0.00000,54928027.16531,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,-18468073.88957,   0.00000
